Amerykański owczarek miniaturowy
Australian Cattle Dog
Australian Stumpy Tail Cattle Dog
Bearded Collie
Bergamasco
Biały owczarek szwajcarski
Border Collie
Bouvier des Ardennes
Bouvier des Flandres / Vlaamse Koehond
Ceskoslovenský Vlciak
Chodsky Pes
Ciobanesc Romanesc Carpatin
Ciobanesc Romanesc Mioritic
Czuwacz słowacki
Komondor
Kuvasz
Lancashire Heeler
Maremmano-Abruzzese
Mudi
Nederlandse Schapendoes
Owczarek australijski - Kelpie
Owczarek australijski (typ amerykański)
Owczarek belgijski - Groenendael
Owczarek belgijski - Laekenois
Owczarek belgijski - Malinois
Owczarek belgijski - Tervueren
Owczarek chorwacki
Owczarek francuski - Beauceron
Owczarek francuski - Briard
Owczarek holenderski długowłosy
Owczarek holenderski krótkowłosy
Owczarek holenderski szorstkowłosy
Owczarek kataloński
Owczarek niemiecki długowłosy
Owczarek niemiecki krótkowłosy
Owczarek pikardyjski
Owczarek pirenejski
Owczarek południoworosyjski - Jużak
Owczarek portugalski
Owczarek staroangielski - Bobtail
Owczarek szetlandzki
Owczarek szkocki długowłosy
Owczarek szkocki krótkowłosy
Owczarek z Majorki długowłosy
Owczarek z Majorki krótkowłosy
Polski owczarek nizinny
Polski owczarek podhalański
Puli biały
Puli kolorowy
Pumi
Saarlooswolfhond
Schipperke
Welsh Corgi Cardigan
Welsh Corgi Pembroke
Aidi
Appenzeller
Bernardyn długowłosy
Bernardyn krótkowłosy
Berneński pies pasterski
Bokser
Broholmer
Buldog angielski
Buldog kontynentalny
Bullmastiff
Cane Corso Italiano
Căo da Serra da Estrela a pelo comprido
Căo da Serra da Estrela a pelo lizo
Căo de Castro Laboreiro
Cao Fila de Sao Miguel
Cimarrón Urugayo
Ciobanesc Romanesc de Bucovina
Czarny terier rosyjski
Dansk-Svensk Gardshund
Doberman
Dog argentyński
Dog niemiecki (błękitny)
Dog niemiecki (czarny
Dog niemiecki (żółty
Dog z Majorki
Dogue de Bordeaux
Duży szwajcarski pies pasterski
Entlebucher
Fila Brasileiro
Hollandse Smoushond
Hovawart
Jugoslovenski Ovcarski Pas - Sarplaninac
Kangal
Kraski Ovcar
Landseer (typ kontynentalno-europejski)
Leonberger
Mastif angielski
Mastif hiszpański
Mastif neapolitański
Mastif pirenejski
Mastif tybetański
Mastif z Transmontanii
Nowofundland
Owczarek kaukaski
Owczarek środkowoazjatycki
Pinczer austriacki
Pinczer małpi
Pinczer miniaturowy
Pinczer średni
Pirenejski pies górski
Presa Canario
Rafeiro do Alentejo
Rottweiler
Shar Pei
Sznaucer miniaturowy biały
Sznaucer miniaturowy czarno-srebrny
Sznaucer miniaturowy czarny
Sznaucer miniaturowy pieprz i sól
Sznaucer olbrzym czarny
Sznaucer olbrzym pieprz i sól
Sznaucer średni czarny
Sznaucer średni pieprz i sól
Tornjak
Tosa
Airedale Terrier
American Staffordshire Terrier
Australian Silky Terrier
Bedlington Terrier
Border Terrier
Bulterier
Bulterier miniaturowy
Cairn Terrier
Dandie Dinmont Terrier
English Toy Terrier
Foksterier krótkowłosy
Foksterier szorstkowłosy
Irish Glen of Imaal Terrier
Irish Soft Coated Wheaten Terrier
Jack Russell Terrier
Kerry Blue Terrier
Lakeland Terrier
Manchester Terrier
Niemiecki terier myśliwski
Norfolk Terrier
Norwich Terrier
Parson Russell Terrier
Sealyham Terrier
Skye Terrier
Staffordshire Bull Terrier
Terier australijski
Terier brazylijski
Terier czeski
Terier irlandzki
Terier japoński
Terier szkocki
Terier walijski
West Highland White Terrier
Yorkshire Terrier
Jamnik długowłosy króliczy
Jamnik długowłosy miniaturowy
Jamnik długowłosy standardowy
Jamnik krótkowłosy króliczy
Jamnik krótkowłosy miniaturowy
Jamnik krótkowłosy standardowy
Jamnik szorstkowłosy króliczy
Jamnik szorstkowłosy miniaturowy
Jamnik szorstkowłosy standardowy
Akita
Akita amerykańska
Alaskan Malamute
Basenji
Canaan Dog
Canadian Eskimo Dog
Chow Chow
Cirneco dell'Etna
Elkhund czarny
Elkhund szary
Eurasier
Hokkaido
Islandzki szpic pasterski
Jämthund
Kai
Karelski pies na niedźwiedzie
Kishu
Korea Jindo Dog
Lapinporokoira
Łajka jakucka
Łajka rosyjsko-europejska
Łajka wschodniosyberyjska
Łajka zachodniosyberyjska
Nagi pies meksykański miniaturowy
Nagi pies meksykański standardowy
Nagi pies meksykański średni
Nagi pies peruwiański duży
Nagi pies peruwiański miniaturowy
Nagi pies peruwiański średni
Norrbottenspets
Norsk Buhund
Norsk Lundehund
Pies Faraona
Pies grenlandzki
Pies z Kintamani-Bali
Podenco kanaryjski
Podenco z Ibizy krótkowłosy
Podenco z Ibizy szorstkowłosy
Podengo portugalski krótkowłosy duży
Podengo portugalski krótkowłosy miniaturowy
Podengo portugalski krótkowłosy średni
Podengo portugalski szorstkowłosy duży
Podengo portugalski szorstkowłosy miniaturowy
Podengo portugalski szorstkowłosy średni
Samoyed
Shiba
Shikoku
Siberian Husky
Suomenlapinkoira
Svensk Lapphund
Szpic duży biały
Szpic duży kolorowy (brązowy
Szpic fiński
Szpic japoński
Szpic mały biały
Szpic mały kolorowy klasyczny (brązowy
Szpic mały kolorowy współczesny (pomarańczowy
Szpic miniaturowy (Pomeranian)
Szpic średni biały
Szpic średni kolorowy klasyczny (brązowy
Szpic średni kolorowy współczesny (pomarańczowy
Szpic wilczy
Szpic włoski
Taiwan Dog
Thai Bangkaew Dog
Thai Ridgeback Dog
Västgötaspets
Alpejski gończy krótkonożny
Ariégeois
Basset artezyjsko-normandzki
Basset bretoński
Basset gaskoński
Basset Hound
Beagle
Beagle Harrier
Billy
Black and Tan Coonhound
Bloodhound
Chien d'Artois
Czarnogórski gończy górski
Dalmatyńczyk
Drever
Dunker
Duży gończy anglo-francuski biało-czarny
Duży gończy anglo-francuski biało-pomarańczowy
Duży gończy anglo-francuski trójkolorowy
Duży gończy gaskoński
Foxhound amerykański
Foxhound angielski
Gascon Saintongeois
Gończy austriacki (Brandlbracke)
Gończy berneński
Gończy berneński krótkonożny
Gończy bośniacki szorstkowłosy Barak
Gończy chorwacki
Gończy estoński
Gończy fiński
Gończy francuski biało-czarny
Gończy francuski biało-pomarańczowy
Gończy francuski trójkolorowy
Gończy grecki
Gończy Hamiltona
Gończy hiszpański
Gończy istryjski krótkowłosy
Gończy istryjski szorstkowłosy
Gończy lucerneński
Gończy lucerneński krótkonożny
Gończy niemiecki
Gończy polski
Gończy Schillera
Gończy serbski
Gończy serbski trójkolorowy
Gończy słowacki
Gończy smalandzki
Gończy styryjski
Gończy tyrolski
Gończy węgierski
Gończy włoski krótkowłosy
Gończy włoski szorstkowłosy
Gończy z Jury (Bruno)
Gończy z Jury krótkonożny
Gończy ze Schwyz
Gończy ze Schwyz krótkonożny
Grand Basset griffon vendéen
Grand griffon vendéen
Haldenstovare
Harrier
Hygenhund
Mały gończy anglo-francuski
Mały gończy gaskoński
Ogar polski
Otterhound
Petit Basset griffon vendéen
Poitevin
Porcelaine
Posokowiec bawarski
Posokowiec hanowerski
Rhodesian Ridgeback
Segugio Maremmano
Szorstkowłosy gończy bretoński
Szorstkowłosy gończy gaskoński
Szorstkowłosy gończy wandejski
Szorstkowłosy gończy z Nivernais
Westfalski gończy krótkonożny
Braque d'Auvergne
Braque de l'Ariege
Braque du Bourbonnais
Braque Saint-Germain
Drentsche Patrijshond
Duży münsterländer
Epagneul bleu de Picardie
Epagneul Breton
Epagneul de Pont-Audemer
Epagneul français
Epagneul picard
Gryfon Korthalsa
Mały münsterländer
Pointer
Pudelpointer
Seter angielski
Seter irlandzki
Seter irlandzki czerwono-biały
Seter szkocki - Gordon
Wyżeł czeski szorstkowłosy - Fousek
Wyżeł duński
Wyżeł fryzyjski
Wyżeł gaskoński
Wyżeł hiszpański z Burgos
Wyżeł niemiecki długowłosy
Wyżeł niemiecki krótkowłosy
Wyżeł niemiecki ostrowłosy
Wyżeł niemiecki szorstkowłosy
Wyżeł pirenejski
Wyżeł portugalski
Wyżeł słowacki szorstkowłosy (Ohar)
Wyżeł weimarski długowłosy
Wyżeł weimarski krótkowłosy
Wyżeł węgierski krótkowłosy
Wyżeł węgierski szorstkowłosy
Wyżeł włoski krótkowłosy
Wyżeł włoski szorstkowłosy
Amerykański spaniel dowodny
Barbet
Chesapeake Bay Retriever
Clumber Spaniel
Cocker spaniel amerykański
Cocker spaniel angielski
Curly Coated Retriever
Field Spaniel
Flat Coated Retriever
Fryzyjski pies dowodny
Golden Retriever
Hiszpański pies dowodny
Irlandzki spaniel dowodny
Labrador Retriever
Lagotto romagnolo
Nederlandse Kooikerhondje
Nova Scotia Duck Tolling Retriever
Płochacz niemiecki - Wachtelhund
